0,31,311
0,107,203
0,241,206
0,357,305
0,441,311
0,1041,204
0,1327,307
0,1367,304
0,1491,307
0,1867,304
0,2789,202
0,3819,306
0,3904,203
0,4105,305
0,4124,202
0,4207,303
0,4375,202
0,4654,202
0,4821,304
0,5419,202
0,5613,202
0,6479,204
0,6533,202
0,6589,304
0,6645,202
0,6877,203
0,7439,203
0,7609,307
0,8167,203
0,8571,306
0,8629,203
0,10219,202
0,11671,202
0,11736,202
0,12705,202
0,12999,202
0,13041,203
0,13247,304
0,13605,204
0,13619,202
0,15245,202
0,15296,203
0,15817,203
0,16993,202
0,17057,202
1,628,304
1,644,304
1,894,305
1,1160,205
1,1346,307
1,1357,303
1,1451,303
1,1802,307
1,1814,307
1,2016,304
1,2460,202
1,2872,205
1,3399,202
1,3566,306
1,4122,204
1,4181,202
1,4358,203
1,4586,203
1,4786,202
1,5430,303
1,7022,203
1,7302,202
1,7378,202
1,8090,303
1,8555,203
1,9568,202
1,10308,204
1,11010,307
1,11338,206
1,11604,203
1,11738,202
1,12618,202
1,13322,203
1,14094,202
1,14512,202
1,14762,203
1,14879,202
1,16918,203
1,16940,202
1,17248,202
2,87,304
2,765,202
2,799,314
2,839,306
2,1407,303
2,5047,304
2,5301,303
2,5678,202
2,6539,304
2,7853,205
2,8347,305
2,9133,307
2,9783,203
2,9975,202
2,12663,202
2,14223,202
2,14405,202
2,14561,202
2,14669,202
2,15985,203
3,1040,202
3,1626,307
3,1872,310
3,1936,202
3,2618,305
3,4818,202
3,5290,304
3,7656,203
3,8532,202
3,8868,203
3,9622,303
3,9984,304
3,10884,202
3,14116,203
3,14710,304
3,15818,203
3,16254,203
6,109,205
6,1747,315
6,1753,204
6,3551,307
6,3849,204
6,4713,306
6,4841,203
6,5177,303
6,5803,204
6,5843,306
6,7232,203
6,8215,204
6,8579,309
6,9279,304
6,11517,309
6,11708,202
6,13575,202
6,15115,205
6,15959,202
6,15998,202
7,402,304
7,1026,308
7,1465,203
7,1636,205
7,1855,202
7,1975,203
7,4738,305
7,5440,203
7,6142,304
7,6872,315
7,9194,204
7,9381,202
7,9637,203
7,10388,304
7,10644,304
7,11615,202
7,12100,202
7,12989,202
7,13318,204
7,13927,202
7,14413,202
7,14506,306
7,14764,203
8,2135,304
8,2597,305
8,7421,202
8,9157,303
8,10225,204
8,10305,202
8,10347,202
8,17149,202
9,512,202
9,1394,304
9,3090,202
9,3104,202
9,4836,203
9,5502,203
9,8070,202
9,8740,205
9,8848,202
9,10146,204
9,10554,202
9,10564,203
10,81,204
10,1953,202
10,3681,303
10,3987,303
10,5781,306
10,6637,303
10,6721,202
10,7973,304
10,8205,305
10,9053,202
10,11787,202
10,12787,202
10,14613,202
11,2412,202
11,2480,306
11,3072,203
11,5972,203
11,6202,303
11,7692,202
11,9196,202
11,11488,202
11,11628,202
11,13160,202
11,13514,203
14,31,203
14,147,306
14,1151,310
14,1295,309
14,1691,307
14,2221,304
14,2977,203
14,3027,203
14,3655,309
14,4735,202
14,4829,203
14,6061,307
14,7051,203
14,7319,308
14,7465,202
14,9915,202
14,10095,305
14,12313,203
14,13173,202
14,14447,203
14,15293,204
14,16199,202
14,16311,203
14,16345,202
14,16667,204
15,122,318
15,182,313
15,1191,303
15,2476,203
15,2524,309
15,3886,202
15,4014,305
15,4068,206
15,4920,202
15,4926,202
15,8174,303
15,9044,309
15,9987,303
15,13714,204
15,14594,202
15,16851,202
16,1373,203
16,1607,203
16,1877,204
16,5183,305
16,5771,303
16,7713,305
16,8333,303
16,11593,303
16,12369,204
16,14463,202
17,182,306
17,262,202
17,488,307
17,678,203
17,1646,306
17,3284,305
17,6138,303
17,6242,202
17,9806,203
17,11296,202
18,929,309
18,2581,204
18,2731,204
18,3401,307
18,3689,305
