"","x"
"1","165"
"2","117"
"3","167"
"4","219"
"5","163"
"6","155"
"7","241"
"8","152"
"9","158"
"10","228"
"11","141"
"12","112"
"13","62"
"14","232"
"15","221"
"16","183"
"17","189"
"18","179"
"19","209"
"20","37"
"21","91"
"22","143"
"23","16"
"24","30"
"25","89"
"26","93"
"27","240"
"28","199"
"29","227"
"30","180"
"31","181"
"32","217"
"33","236"
"34","146"
"35","202"
"36","157"
"37","121"
"38","70"
"39","225"
"40","214"
"41","64"
"42","65"
"43","78"
"44","136"
"45","119"
"46","164"
"47","128"
"48","187"
"49","173"
"50","120"
"51","239"
"52","127"
"53","168"
"54","139"
"55","8"
"56","160"
"57","116"
"58","84"
"59","66"
"60","53"
"61","34"
"62","49"
"63","101"
"64","105"
"65","83"
"66","131"
"67","87"
"68","44"
"69","32"
"70","151"
"71","224"
"72","193"
"73","28"
"74","15"
"75","21"
"76","55"
"77","38"
"78","82"
"79","175"
"80","95"
"81","222"
"82","36"
"83","126"
"84","7"
"85","2"
"86","0"
"87","17"
"88","9"
"89","10"
"90","25"
"91","12"
"92","13"
"93","27"
"94","20"
"95","109"
"96","24"
"97","130"
"98","80"
"99","237"
"100","197"
"101","42"
"102","104"
"103","18"
"104","81"
"105","29"
"106","124"
"107","26"
"108","33"
"109","19"
"110","1"
"111","22"
"112","3"
"113","5"
"114","61"
"115","4"
"116","98"
"117","88"
"118","57"
"119","133"
"120","71"
"121","74"
"122","107"
"123","43"
"124","69"
"125","186"
"126","90"
"127","45"
"128","54"
"129","40"
"130","46"
"131","94"
"132","103"
"133","132"
"134","111"
"135","108"
"136","72"
"137","23"
"138","67"
"139","92"
"140","215"
"141","56"
"142","68"
"143","86"
"144","51"
"145","115"
"146","207"
"147","216"
"148","110"
"149","147"
"150","203"
"151","162"
"152","188"
"153","118"
"154","201"
"155","171"
"156","85"
"157","149"
"158","114"
"159","122"
"160","200"
"161","135"
"162","77"
"163","138"
"164","129"
"165","161"
"166","230"
"167","192"
"168","198"
"169","172"
"170","154"
"171","174"
"172","205"
"173","246"
"174","31"
"175","185"
"176","96"
"177","60"
"178","125"
"179","159"
"180","213"
"181","245"
"182","79"
"183","73"
"184","58"
"185","134"
"186","47"
"187","59"
"188","14"
"189","76"
"190","39"
"191","50"
"192","142"
"193","182"
"194","145"
"195","170"
"196","195"
"197","140"
"198","194"
"199","144"
"200","190"
"201","169"
"202","220"
"203","35"
"204","48"
"205","41"
"206","6"
"207","11"
"208","52"
"209","99"
"210","184"
"211","113"
"212","75"
"213","102"
"214","97"
"215","100"
"216","148"
"217","137"
"218","166"
"219","63"
"220","150"
"221","178"
"222","191"
"223","153"
"224","106"
"225","238"
"226","231"
"227","242"
"228","229"
"229","156"
"230","176"
"231","123"
"232","211"
"233","208"
"234","235"
"235","244"
"236","233"
"237","247"
"238","210"
"239","243"
"240","226"
"241","218"
"242","204"
"243","177"
"244","212"
"245","223"
"246","206"
"247","249"
"248","248"
"249","234"
