"","x"
"1","27"
"2","38"
"3","82"
"4","59"
"5","24"
"6","213"
"7","131"
"8","88"
"9","43"
"10","60"
"11","242"
"12","222"
"13","51"
"14","148"
"15","101"
"16","236"
"17","175"
"18","183"
"19","157"
"20","193"
"21","218"
"22","28"
"23","44"
"24","145"
"25","153"
"26","215"
"27","100"
"28","76"
"29","19"
"30","135"
"31","118"
"32","20"
"33","227"
"34","244"
"35","189"
"36","170"
"37","168"
"38","203"
"39","36"
"40","55"
"41","72"
"42","159"
"43","182"
"44","119"
"45","34"
"46","178"
"47","21"
"48","171"
"49","154"
"50","216"
"51","226"
"52","92"
"53","121"
"54","70"
"55","29"
"56","35"
"57","71"
"58","151"
"59","220"
"60","107"
"61","248"
"62","128"
"63","155"
"64","209"
"65","16"
"66","94"
"67","68"
"68","223"
"69","201"
"70","102"
"71","80"
"72","156"
"73","104"
"74","232"
"75","179"
"76","138"
"77","212"
"78","96"
"79","206"
"80","133"
"81","50"
"82","181"
"83","106"
"84","25"
"85","8"
"86","30"
"87","99"
"88","65"
"89","210"
"90","77"
"91","109"
"92","48"
"93","115"
"94","162"
"95","116"
"96","211"
"97","56"
"98","117"
"99","197"
"100","74"
"101","191"
"102","93"
"103","202"
"104","241"
"105","200"
"106","134"
"107","41"
"108","247"
"109","186"
"110","194"
"111","190"
"112","150"
"113","158"
"114","243"
"115","86"
"116","225"
"117","192"
"118","176"
"119","15"
"120","199"
"121","152"
"122","129"
"123","105"
"124","114"
"125","61"
"126","185"
"127","40"
"128","33"
"129","58"
"130","87"
"131","11"
"132","52"
"133","130"
"134","73"
"135","110"
"136","140"
"137","239"
"138","69"
"139","249"
"140","169"
"141","196"
"142","161"
"143","97"
"144","219"
"145","188"
"146","127"
"147","126"
"148","84"
"149","111"
"150","37"
"151","46"
"152","195"
"153","57"
"154","31"
"155","120"
"156","205"
"157","91"
"158","231"
"159","122"
"160","45"
"161","149"
"162","141"
"163","78"
"164","208"
"165","228"
"166","90"
"167","224"
"168","214"
"169","137"
"170","53"
"171","246"
"172","63"
"173","89"
"174","103"
"175","221"
"176","136"
"177","1"
"178","139"
"179","144"
"180","79"
"181","64"
"182","207"
"183","49"
"184","17"
"185","5"
"186","240"
"187","39"
"188","83"
"189","217"
"190","238"
"191","160"
"192","113"
"193","143"
"194","23"
"195","166"
"196","229"
"197","42"
"198","18"
"199","146"
"200","54"
"201","9"
"202","2"
"203","62"
"204","10"
"205","26"
"206","67"
"207","164"
"208","47"
"209","6"
"210","14"
"211","3"
"212","0"
"213","66"
"214","81"
"215","95"
"216","7"
"217","13"
"218","124"
"219","108"
"220","12"
"221","85"
"222","32"
"223","75"
"224","237"
"225","187"
"226","177"
"227","230"
"228","174"
"229","198"
"230","167"
"231","163"
"232","233"
"233","125"
"234","184"
"235","235"
"236","112"
"237","22"
"238","4"
"239","98"
"240","180"
"241","147"
"242","142"
"243","204"
"244","123"
"245","173"
"246","245"
"247","165"
"248","132"
"249","172"
"250","234"
