"","x"
"1","117"
"2","103"
"3","57"
"4","71"
"5","73"
"6","140"
"7","94"
"8","95"
"9","161"
"10","114"
"11","170"
"12","131"
"13","105"
"14","90"
"15","112"
"16","193"
"17","192"
"18","42"
"19","15"
"20","65"
"21","17"
"22","20"
"23","6"
"24","109"
"25","67"
"26","45"
"27","191"
"28","106"
"29","18"
"30","66"
"31","142"
"32","3"
"33","4"
"34","14"
"35","25"
"36","49"
"37","0"
"38","22"
"39","1"
"40","31"
"41","48"
"42","11"
"43","50"
"44","83"
"45","122"
"46","186"
"47","172"
"48","21"
"49","52"
"50","115"
"51","82"
"52","153"
"53","54"
"54","37"
"55","39"
"56","77"
"57","104"
"58","9"
"59","5"
"60","29"
"61","2"
"62","23"
"63","96"
"64","36"
"65","58"
"66","56"
"67","63"
"68","107"
"69","92"
"70","85"
"71","34"
"72","134"
"73","121"
"74","247"
"75","88"
"76","120"
"77","175"
"78","149"
"79","150"
"80","148"
"81","221"
"82","207"
"83","201"
"84","239"
"85","204"
"86","40"
"87","99"
"88","128"
"89","123"
"90","28"
"91","41"
"92","173"
"93","16"
"94","30"
"95","55"
"96","78"
"97","43"
"98","13"
"99","10"
"100","27"
"101","100"
"102","33"
"103","7"
"104","70"
"105","76"
"106","79"
"107","32"
"108","12"
"109","46"
"110","53"
"111","47"
"112","89"
"113","178"
"114","187"
"115","159"
"116","111"
"117","209"
"118","174"
"119","72"
"120","143"
"121","137"
"122","91"
"123","19"
"124","44"
"125","116"
"126","124"
"127","132"
"128","130"
"129","86"
"130","126"
"131","232"
"132","163"
"133","141"
"134","177"
"135","199"
"136","203"
"137","184"
"138","24"
"139","35"
"140","38"
"141","62"
"142","129"
"143","185"
"144","166"
"145","84"
"146","75"
"147","8"
"148","181"
"149","197"
"150","26"
"151","61"
"152","80"
"153","139"
"154","168"
"155","155"
"156","216"
"157","198"
"158","180"
"159","183"
"160","108"
"161","51"
"162","74"
"163","151"
"164","205"
"165","235"
"166","119"
"167","195"
"168","125"
"169","182"
"170","200"
"171","152"
"172","118"
"173","138"
"174","97"
"175","147"
"176","133"
"177","213"
"178","208"
"179","214"
"180","167"
"181","210"
"182","236"
"183","59"
"184","81"
"185","60"
"186","160"
"187","110"
"188","164"
"189","135"
"190","157"
"191","87"
"192","169"
"193","188"
"194","127"
"195","165"
"196","69"
"197","64"
"198","93"
"199","68"
"200","196"
"201","158"
"202","98"
"203","136"
"204","146"
"205","224"
"206","102"
"207","171"
"208","230"
"209","246"
"210","206"
"211","225"
"212","220"
"213","113"
"214","162"
"215","238"
"216","215"
"217","144"
"218","228"
"219","218"
"220","234"
"221","179"
"222","226"
"223","212"
"224","154"
"225","222"
"226","223"
"227","241"
"228","243"
"229","249"
"230","194"
"231","211"
"232","237"
"233","248"
"234","176"
"235","101"
"236","190"
"237","145"
"238","233"
"239","189"
"240","219"
"241","242"
"242","231"
"243","229"
"244","156"
"245","202"
"246","217"
"247","245"
"248","227"
