"","x"
"1","5"
"2","37"
"3","11"
"4","4"
"5","46"
"6","93"
"7","215"
"8","167"
"9","94"
"10","235"
"11","200"
"12","211"
"13","156"
"14","230"
"15","139"
"16","153"
"17","125"
"18","86"
"19","18"
"20","74"
"21","8"
"22","31"
"23","53"
"24","182"
"25","6"
"26","98"
"27","55"
"28","43"
"29","62"
"30","130"
"31","20"
"32","39"
"33","59"
"34","186"
"35","170"
"36","155"
"37","119"
"38","21"
"39","166"
"40","145"
"41","19"
"42","65"
"43","47"
"44","41"
"45","30"
"46","113"
"47","208"
"48","32"
"49","106"
"50","38"
"51","12"
"52","134"
"53","136"
"54","51"
"55","101"
"56","203"
"57","161"
"58","96"
"59","236"
"60","149"
"61","228"
"62","79"
"63","10"
"64","33"
"65","27"
"66","189"
"67","122"
"68","127"
"69","50"
"70","173"
"71","159"
"72","163"
"73","249"
"74","147"
"75","201"
"76","246"
"77","24"
"78","240"
"79","57"
"80","7"
"81","117"
"82","128"
"83","52"
"84","126"
"85","54"
"86","89"
"87","67"
"88","76"
"89","69"
"90","137"
"91","112"
"92","238"
"93","95"
"94","197"
"95","247"
"96","124"
"97","146"
"98","198"
"99","83"
"100","180"
"101","234"
"102","164"
"103","88"
"104","102"
"105","188"
"106","110"
"107","224"
"108","227"
"109","174"
"110","114"
"111","194"
"112","245"
"113","140"
"114","16"
"115","81"
"116","157"
"117","223"
"118","104"
"119","23"
"120","214"
"121","48"
"122","13"
"123","220"
"124","218"
"125","162"
"126","26"
"127","29"
"128","34"
"129","175"
"130","84"
"131","80"
"132","115"
"133","248"
"134","184"
"135","78"
"136","73"
"137","242"
"138","105"
"139","87"
"140","165"
"141","190"
"142","217"
"143","123"
"144","22"
"145","187"
"146","216"
"147","142"
"148","116"
"149","237"
"150","49"
"151","199"
"152","129"
"153","213"
"154","108"
"155","64"
"156","158"
"157","204"
"158","183"
"159","169"
"160","91"
"161","9"
"162","222"
"163","152"
"164","172"
"165","151"
"166","148"
"167","196"
"168","243"
"169","56"
"170","225"
"171","118"
"172","241"
"173","82"
"174","109"
"175","177"
"176","68"
"177","70"
"178","154"
"179","231"
"180","210"
"181","232"
"182","63"
"183","25"
"184","206"
"185","61"
"186","233"
"187","17"
"188","226"
"189","195"
"190","178"
"191","138"
"192","205"
"193","99"
"194","141"
"195","239"
"196","207"
"197","15"
"198","45"
"199","107"
"200","14"
"201","58"
"202","92"
"203","132"
"204","193"
"205","181"
"206","0"
"207","90"
"208","71"
"209","191"
"210","176"
"211","42"
"212","35"
"213","2"
"214","1"
"215","144"
"216","150"
"217","72"
"218","3"
"219","120"
"220","111"
"221","192"
"222","44"
"223","143"
"224","85"
"225","179"
"226","209"
"227","60"
"228","103"
"229","66"
"230","202"
"231","131"
"232","244"
"233","28"
"234","133"
"235","229"
"236","168"
"237","135"
"238","40"
"239","160"
"240","75"
"241","221"
"242","121"
"243","219"
"244","100"
"245","212"
"246","77"
"247","97"
"248","171"
"249","185"
"250","36"
