"","x"
"1","94"
"2","98"
"3","153"
"4","171"
"5","223"
"6","165"
"7","64"
"8","100"
"9","180"
"10","116"
"11","82"
"12","3"
"13","0"
"14","25"
"15","23"
"16","175"
"17","2"
"18","22"
"19","75"
"20","54"
"21","174"
"22","198"
"23","176"
"24","19"
"25","142"
"26","93"
"27","13"
"28","47"
"29","90"
"30","9"
"31","12"
"32","190"
"33","32"
"34","227"
"35","37"
"36","92"
"37","114"
"38","6"
"39","203"
"40","65"
"41","11"
"42","4"
"43","1"
"44","50"
"45","15"
"46","24"
"47","183"
"48","127"
"49","74"
"50","106"
"51","211"
"52","132"
"53","95"
"54","62"
"55","48"
"56","41"
"57","126"
"58","120"
"59","218"
"60","110"
"61","170"
"62","195"
"63","212"
"64","46"
"65","66"
"66","83"
"67","149"
"68","206"
"69","117"
"70","157"
"71","143"
"72","30"
"73","115"
"74","99"
"75","137"
"76","232"
"77","103"
"78","162"
"79","91"
"80","240"
"81","226"
"82","42"
"83","68"
"84","239"
"85","215"
"86","231"
"87","122"
"88","214"
"89","199"
"90","26"
"91","144"
"92","81"
"93","16"
"94","49"
"95","238"
"96","201"
"97","61"
"98","113"
"99","146"
"100","43"
"101","202"
"102","89"
"103","166"
"104","228"
"105","141"
"106","197"
"107","163"
"108","243"
"109","145"
"110","21"
"111","44"
"112","63"
"113","60"
"114","246"
"115","105"
"116","107"
"117","20"
"118","248"
"119","87"
"120","247"
"121","208"
"122","155"
"123","85"
"124","138"
"125","80"
"126","129"
"127","134"
"128","188"
"129","230"
"130","244"
"131","222"
"132","67"
"133","156"
"134","79"
"135","184"
"136","233"
"137","151"
"138","242"
"139","84"
"140","69"
"141","236"
"142","34"
"143","31"
"144","168"
"145","18"
"146","86"
"147","7"
"148","17"
"149","10"
"150","210"
"151","88"
"152","109"
"153","28"
"154","57"
"155","38"
"156","241"
"157","39"
"158","154"
"159","14"
"160","52"
"161","73"
"162","97"
"163","102"
"164","172"
"165","225"
"166","213"
"167","229"
"168","112"
"169","167"
"170","104"
"171","56"
"172","139"
"173","189"
"174","207"
"175","177"
"176","235"
"177","136"
"178","179"
"179","164"
"180","124"
"181","33"
"182","78"
"183","161"
"184","185"
"185","186"
"186","169"
"187","58"
"188","158"
"189","8"
"190","45"
"191","27"
"192","71"
"193","77"
"194","182"
"195","5"
"196","200"
"197","173"
"198","70"
"199","159"
"200","150"
"201","135"
"202","130"
"203","237"
"204","221"
"205","196"
"206","191"
"207","245"
"208","194"
"209","51"
"210","121"
"211","111"
"212","123"
"213","249"
"214","160"
"215","128"
"216","101"
"217","40"
"218","192"
"219","59"
"220","36"
"221","35"
"222","152"
"223","140"
"224","209"
"225","125"
"226","216"
"227","108"
"228","131"
"229","224"
"230","205"
"231","187"
"232","147"
"233","72"
"234","76"
"235","133"
"236","96"
"237","220"
"238","193"
"239","29"
"240","234"
"241","55"
"242","148"
"243","204"
"244","53"
"245","119"
"246","118"
"247","178"
"248","219"
"249","181"
"250","217"
