"","x"
"1","61"
"2","144"
"3","152"
"4","249"
"5","60"
"6","24"
"7","229"
"8","239"
"9","118"
"10","183"
"11","55"
"12","246"
"13","201"
"14","150"
"15","116"
"16","85"
"17","236"
"18","157"
"19","165"
"20","94"
"21","64"
"22","79"
"23","98"
"24","2"
"25","34"
"26","26"
"27","240"
"28","125"
"29","180"
"30","197"
"31","199"
"32","243"
"33","62"
"34","69"
"35","31"
"36","0"
"37","133"
"38","59"
"39","198"
"40","21"
"41","90"
"42","141"
"43","68"
"44","160"
"45","81"
"46","22"
"47","7"
"48","27"
"49","137"
"50","134"
"51","163"
"52","242"
"53","12"
"54","181"
"55","192"
"56","231"
"57","158"
"58","124"
"59","44"
"60","5"
"61","17"
"62","35"
"63","9"
"64","108"
"65","3"
"66","82"
"67","109"
"68","113"
"69","120"
"70","115"
"71","132"
"72","89"
"73","65"
"74","217"
"75","214"
"76","106"
"77","96"
"78","238"
"79","97"
"80","161"
"81","223"
"82","139"
"83","248"
"84","232"
"85","99"
"86","110"
"87","168"
"88","135"
"89","47"
"90","175"
"91","119"
"92","207"
"93","193"
"94","216"
"95","171"
"96","140"
"97","177"
"98","159"
"99","234"
"100","51"
"101","247"
"102","204"
"103","32"
"104","1"
"105","70"
"106","39"
"107","48"
"108","52"
"109","42"
"110","88"
"111","184"
"112","100"
"113","176"
"114","84"
"115","195"
"116","211"
"117","122"
"118","170"
"119","142"
"120","222"
"121","172"
"122","187"
"123","87"
"124","153"
"125","154"
"126","233"
"127","213"
"128","202"
"129","206"
"130","196"
"131","179"
"132","104"
"133","56"
"134","77"
"135","66"
"136","220"
"137","57"
"138","166"
"139","128"
"140","151"
"141","13"
"142","80"
"143","244"
"144","194"
"145","210"
"146","4"
"147","19"
"148","111"
"149","46"
"150","63"
"151","54"
"152","143"
"153","200"
"154","188"
"155","146"
"156","83"
"157","174"
"158","49"
"159","241"
"160","245"
"161","92"
"162","191"
"163","41"
"164","235"
"165","8"
"166","212"
"167","18"
"168","101"
"169","11"
"170","78"
"171","72"
"172","75"
"173","112"
"174","103"
"175","15"
"176","16"
"177","237"
"178","20"
"179","218"
"180","127"
"181","95"
"182","36"
"183","30"
"184","6"
"185","50"
"186","131"
"187","178"
"188","145"
"189","185"
"190","208"
"191","28"
"192","74"
"193","10"
"194","225"
"195","53"
"196","45"
"197","40"
"198","93"
"199","25"
"200","164"
"201","129"
"202","215"
"203","205"
"204","107"
"205","58"
"206","117"
"207","29"
"208","14"
"209","203"
"210","169"
"211","105"
"212","221"
"213","86"
"214","155"
"215","138"
"216","37"
"217","73"
"218","23"
"219","121"
"220","156"
"221","136"
"222","230"
"223","43"
"224","91"
"225","226"
"226","162"
"227","189"
"228","209"
"229","190"
"230","224"
"231","33"
"232","102"
"233","130"
"234","147"
"235","123"
"236","219"
"237","228"
"238","227"
"239","167"
"240","67"
"241","173"
"242","149"
"243","148"
"244","186"
"245","38"
"246","126"
"247","76"
"248","182"
"249","71"
"250","114"
