"","x"
"1","18"
"2","35"
"3","105"
"4","81"
"5","42"
"6","34"
"7","77"
"8","1"
"9","60"
"10","46"
"11","98"
"12","10"
"13","20"
"14","117"
"15","92"
"16","4"
"17","0"
"18","44"
"19","64"
"20","54"
"21","29"
"22","38"
"23","12"
"24","17"
"25","56"
"26","31"
"27","82"
"28","71"
"29","96"
"30","176"
"31","6"
"32","52"
"33","30"
"34","200"
"35","36"
"36","51"
"37","164"
"38","171"
"39","75"
"40","169"
"41","19"
"42","53"
"43","55"
"44","63"
"45","152"
"46","73"
"47","45"
"48","28"
"49","37"
"50","97"
"51","85"
"52","88"
"53","174"
"54","66"
"55","123"
"56","11"
"57","3"
"58","50"
"59","14"
"60","16"
"61","13"
"62","47"
"63","40"
"64","99"
"65","25"
"66","21"
"67","89"
"68","27"
"69","148"
"70","134"
"71","118"
"72","110"
"73","138"
"74","136"
"75","101"
"76","2"
"77","57"
"78","84"
"79","39"
"80","93"
"81","8"
"82","9"
"83","72"
"84","121"
"85","32"
"86","132"
"87","23"
"88","175"
"89","142"
"90","166"
"91","108"
"92","109"
"93","94"
"94","58"
"95","147"
"96","59"
"97","135"
"98","189"
"99","239"
"100","48"
"101","41"
"102","61"
"103","33"
"104","201"
"105","107"
"106","106"
"107","212"
"108","91"
"109","125"
"110","119"
"111","24"
"112","49"
"113","144"
"114","104"
"115","22"
"116","115"
"117","131"
"118","102"
"119","79"
"120","86"
"121","194"
"122","178"
"123","216"
"124","26"
"125","62"
"126","68"
"127","70"
"128","112"
"129","128"
"130","244"
"131","226"
"132","192"
"133","202"
"134","219"
"135","67"
"136","76"
"137","100"
"138","150"
"139","163"
"140","173"
"141","165"
"142","198"
"143","191"
"144","145"
"145","211"
"146","193"
"147","196"
"148","236"
"149","217"
"150","78"
"151","15"
"152","7"
"153","5"
"154","190"
"155","116"
"156","80"
"157","69"
"158","95"
"159","127"
"160","242"
"161","74"
"162","43"
"163","180"
"164","214"
"165","210"
"166","141"
"167","103"
"168","113"
"169","139"
"170","157"
"171","159"
"172","126"
"173","170"
"174","230"
"175","187"
"176","207"
"177","83"
"178","140"
"179","232"
"180","185"
"181","154"
"182","151"
"183","133"
"184","124"
"185","87"
"186","188"
"187","130"
"188","153"
"189","146"
"190","161"
"191","168"
"192","231"
"193","204"
"194","215"
"195","225"
"196","241"
"197","206"
"198","213"
"199","155"
"200","158"
"201","120"
"202","129"
"203","205"
"204","143"
"205","228"
"206","65"
"207","172"
"208","114"
"209","156"
"210","177"
"211","221"
"212","223"
"213","237"
"214","227"
"215","248"
"216","209"
"217","247"
"218","246"
"219","208"
"220","224"
"221","233"
"222","240"
"223","245"
"224","249"
"225","160"
"226","183"
"227","137"
"228","111"
"229","195"
"230","162"
"231","149"
"232","186"
"233","181"
"234","90"
"235","184"
"236","197"
"237","122"
"238","203"
"239","235"
"240","167"
"241","182"
"242","234"
"243","238"
"244","218"
"245","199"
"246","179"
"247","229"
"248","220"
