"","x"
"1","12"
"2","13"
"3","27"
"4","20"
"5","109"
"6","24"
"7","130"
"8","80"
"9","237"
"10","197"
"11","4"
"12","98"
"13","79"
"14","73"
"15","58"
"16","134"
"17","47"
"18","59"
"19","14"
"20","76"
"21","39"
"22","50"
"23","26"
"24","33"
"25","19"
"26","1"
"27","22"
"28","3"
"29","5"
"30","61"
"31","43"
"32","69"
"33","186"
"34","90"
"35","88"
"36","57"
"37","133"
"38","71"
"39","21"
"40","82"
"41","28"
"42","15"
"43","55"
"44","38"
"45","175"
"46","95"
"47","222"
"48","36"
"49","126"
"50","7"
"51","2"
"52","0"
"53","17"
"54","9"
"55","10"
"56","25"
"57","42"
"58","104"
"59","18"
"60","29"
"61","124"
"62","81"
"63","114"
"64","122"
"65","132"
"66","94"
"67","103"
"68","45"
"69","54"
"70","40"
"71","46"
"72","108"
"73","111"
"74","72"
"75","23"
"76","67"
"77","92"
"78","215"
"79","56"
"80","68"
"81","86"
"82","51"
"83","127"
"84","168"
"85","139"
"86","8"
"87","160"
"88","116"
"89","84"
"90","66"
"91","53"
"92","34"
"93","49"
"94","101"
"95","105"
"96","83"
"97","131"
"98","87"
"99","44"
"100","32"
"101","151"
"102","224"
"103","193"
"104","141"
"105","112"
"106","62"
"107","16"
"108","30"
"109","232"
"110","189"
"111","179"
"112","209"
"113","221"
"114","183"
"115","165"
"116","117"
"117","167"
"118","219"
"119","163"
"120","155"
"121","241"
"122","152"
"123","158"
"124","228"
"125","37"
"126","91"
"127","143"
"128","89"
"129","93"
"130","240"
"131","199"
"132","227"
"133","180"
"134","181"
"135","217"
"136","236"
"137","146"
"138","202"
"139","157"
"140","121"
"141","70"
"142","225"
"143","214"
"144","119"
"145","164"
"146","128"
"147","78"
"148","136"
"149","64"
"150","65"
"151","187"
"152","173"
"153","120"
"154","239"
"155","135"
"156","77"
"157","138"
"158","129"
"159","161"
"160","230"
"161","192"
"162","198"
"163","172"
"164","154"
"165","174"
"166","205"
"167","246"
"168","31"
"169","185"
"170","96"
"171","60"
"172","125"
"173","159"
"174","213"
"175","245"
"176","142"
"177","182"
"178","145"
"179","195"
"180","170"
"181","194"
"182","74"
"183","107"
"184","140"
"185","210"
"186","243"
"187","226"
"188","218"
"189","75"
"190","102"
"191","97"
"192","100"
"193","148"
"194","137"
"195","166"
"196","63"
"197","144"
"198","190"
"199","169"
"200","220"
"201","35"
"202","48"
"203","41"
"204","6"
"205","11"
"206","52"
"207","99"
"208","184"
"209","113"
"210","242"
"211","229"
"212","115"
"213","207"
"214","216"
"215","110"
"216","147"
"217","203"
"218","162"
"219","188"
"220","118"
"221","201"
"222","171"
"223","85"
"224","149"
"225","200"
"226","223"
"227","206"
"228","249"
"229","248"
"230","234"
"231","156"
"232","176"
"233","123"
"234","211"
"235","208"
"236","238"
"237","231"
"238","150"
"239","178"
"240","191"
"241","153"
"242","106"
"243","235"
"244","244"
"245","233"
"246","247"
"247","204"
"248","177"
"249","212"
