"","x"
"1","11"
"2","3"
"3","50"
"4","14"
"5","16"
"6","40"
"7","99"
"8","10"
"9","13"
"10","47"
"11","25"
"12","21"
"13","89"
"14","27"
"15","148"
"16","134"
"17","118"
"18","110"
"19","138"
"20","93"
"21","8"
"22","9"
"23","72"
"24","121"
"25","136"
"26","101"
"27","2"
"28","32"
"29","132"
"30","23"
"31","57"
"32","84"
"33","39"
"34","175"
"35","142"
"36","166"
"37","109"
"38","94"
"39","108"
"40","58"
"41","147"
"42","59"
"43","135"
"44","189"
"45","239"
"46","48"
"47","41"
"48","61"
"49","33"
"50","201"
"51","18"
"52","35"
"53","105"
"54","81"
"55","42"
"56","34"
"57","77"
"58","1"
"59","60"
"60","46"
"61","98"
"62","20"
"63","117"
"64","92"
"65","36"
"66","164"
"67","4"
"68","0"
"69","44"
"70","64"
"71","54"
"72","29"
"73","38"
"74","12"
"75","17"
"76","56"
"77","62"
"78","26"
"79","68"
"80","70"
"81","112"
"82","128"
"83","200"
"84","19"
"85","53"
"86","55"
"87","97"
"88","85"
"89","63"
"90","152"
"91","73"
"92","45"
"93","28"
"94","37"
"95","66"
"96","123"
"97","90"
"98","184"
"99","197"
"100","122"
"101","88"
"102","174"
"103","6"
"104","51"
"105","171"
"106","75"
"107","30"
"108","52"
"109","96"
"110","176"
"111","65"
"112","172"
"113","114"
"114","156"
"115","31"
"116","82"
"117","71"
"118","169"
"119","67"
"120","76"
"121","100"
"122","150"
"123","163"
"124","173"
"125","165"
"126","198"
"127","191"
"128","145"
"129","211"
"130","193"
"131","196"
"132","236"
"133","217"
"134","227"
"135","248"
"136","22"
"137","115"
"138","107"
"139","212"
"140","106"
"141","91"
"142","125"
"143","119"
"144","86"
"145","194"
"146","24"
"147","49"
"148","144"
"149","104"
"150","102"
"151","79"
"152","131"
"153","178"
"154","216"
"155","244"
"156","226"
"157","192"
"158","202"
"159","219"
"160","78"
"161","15"
"162","7"
"163","5"
"164","190"
"165","116"
"166","80"
"167","69"
"168","95"
"169","127"
"170","242"
"171","74"
"172","43"
"173","180"
"174","214"
"175","210"
"176","141"
"177","103"
"178","113"
"179","139"
"180","157"
"181","159"
"182","126"
"183","170"
"184","230"
"185","187"
"186","207"
"187","83"
"188","140"
"189","232"
"190","185"
"191","154"
"192","151"
"193","133"
"194","124"
"195","87"
"196","188"
"197","130"
"198","153"
"199","146"
"200","161"
"201","168"
"202","231"
"203","206"
"204","213"
"205","204"
"206","215"
"207","241"
"208","160"
"209","183"
"210","137"
"211","111"
"212","195"
"213","162"
"214","149"
"215","186"
"216","181"
"217","167"
"218","182"
"219","234"
"220","238"
"221","218"
"222","199"
"223","203"
"224","235"
"225","179"
"226","229"
"227","220"
"228","155"
"229","158"
"230","120"
"231","129"
"232","205"
"233","143"
"234","228"
"235","177"
"236","221"
"237","223"
"238","209"
"239","237"
"240","247"
"241","246"
"242","208"
"243","224"
"244","233"
"245","225"
"246","240"
"247","245"
"248","249"
