"","x"
"1","249"
"2","44"
"3","43"
"4","28"
"5","3"
"6","205"
"7","40"
"8","230"
"9","167"
"10","27"
"11","183"
"12","103"
"13","203"
"14","56"
"15","84"
"16","207"
"17","74"
"18","191"
"19","195"
"20","111"
"21","176"
"22","55"
"23","136"
"24","204"
"25","226"
"26","174"
"27","63"
"28","179"
"29","117"
"30","5"
"31","47"
"32","153"
"33","212"
"34","87"
"35","21"
"36","32"
"37","10"
"38","8"
"39","133"
"40","102"
"41","112"
"42","190"
"43","65"
"44","244"
"45","146"
"46","38"
"47","192"
"48","54"
"49","81"
"50","59"
"51","0"
"52","88"
"53","80"
"54","221"
"55","22"
"56","66"
"57","12"
"58","79"
"59","217"
"60","149"
"61","76"
"62","171"
"63","26"
"64","186"
"65","151"
"66","238"
"67","20"
"68","7"
"69","162"
"70","45"
"71","113"
"72","139"
"73","189"
"74","35"
"75","49"
"76","199"
"77","129"
"78","122"
"79","23"
"80","245"
"81","89"
"82","208"
"83","61"
"84","131"
"85","175"
"86","213"
"87","178"
"88","34"
"89","33"
"90","101"
"91","6"
"92","108"
"93","31"
"94","209"
"95","155"
"96","211"
"97","121"
"98","93"
"99","134"
"100","77"
"101","13"
"102","109"
"103","181"
"104","75"
"105","135"
"106","70"
"107","194"
"108","206"
"109","30"
"110","185"
"111","105"
"112","104"
"113","147"
"114","197"
"115","219"
"116","223"
"117","227"
"118","225"
"119","148"
"120","215"
"121","60"
"122","42"
"123","182"
"124","184"
"125","216"
"126","9"
"127","36"
"128","58"
"129","163"
"130","24"
"131","97"
"132","2"
"133","169"
"134","193"
"135","160"
"136","130"
"137","144"
"138","161"
"139","14"
"140","18"
"141","150"
"142","152"
"143","1"
"144","165"
"145","170"
"146","92"
"147","68"
"148","132"
"149","196"
"150","201"
"151","218"
"152","127"
"153","125"
"154","123"
"155","90"
"156","39"
"157","29"
"158","115"
"159","19"
"160","177"
"161","82"
"162","51"
"163","50"
"164","52"
"165","57"
"166","110"
"167","236"
"168","180"
"169","116"
"170","118"
"171","62"
"172","16"
"173","64"
"174","114"
"175","25"
"176","78"
"177","53"
"178","138"
"179","143"
"180","173"
"181","17"
"182","48"
"183","11"
"184","168"
"185","172"
"186","107"
"187","154"
"188","98"
"189","228"
"190","235"
"191","239"
"192","241"
"193","41"
"194","4"
"195","71"
"196","220"
"197","232"
"198","15"
"199","91"
"200","46"
"201","94"
"202","124"
"203","202"
"204","210"
"205","247"
"206","119"
"207","198"
"208","214"
"209","69"
"210","67"
"211","96"
"212","100"
"213","222"
"214","164"
"215","86"
"216","85"
"217","187"
"218","188"
"219","72"
"220","37"
"221","106"
"222","137"
"223","140"
"224","141"
"225","156"
"226","157"
"227","229"
"228","237"
"229","240"
"230","242"
"231","243"
"232","246"
"233","248"
"234","159"
"235","83"
"236","224"
"237","145"
"238","231"
"239","233"
"240","234"
"241","95"
"242","126"
"243","128"
"244","120"
"245","73"
"246","158"
"247","142"
"248","99"
"249","166"
"250","200"
