"","x"
"1","29"
"2","94"
"3","190"
"4","99"
"5","40"
"6","7"
"7","49"
"8","70"
"9","123"
"10","19"
"11","13"
"12","48"
"13","109"
"14","163"
"15","138"
"16","224"
"17","212"
"18","230"
"19","207"
"20","130"
"21","77"
"22","204"
"23","180"
"24","154"
"25","79"
"26","216"
"27","245"
"28","232"
"29","236"
"30","106"
"31","221"
"32","205"
"33","129"
"34","137"
"35","182"
"36","200"
"37","223"
"38","189"
"39","174"
"40","114"
"41","167"
"42","145"
"43","183"
"44","57"
"45","86"
"46","61"
"47","81"
"48","125"
"49","197"
"50","162"
"51","128"
"52","11"
"53","227"
"54","44"
"55","147"
"56","144"
"57","149"
"58","210"
"59","206"
"60","122"
"61","233"
"62","177"
"63","141"
"64","238"
"65","231"
"66","12"
"67","121"
"68","30"
"69","126"
"70","213"
"71","160"
"72","39"
"73","47"
"74","104"
"75","69"
"76","4"
"77","14"
"78","8"
"79","43"
"80","132"
"81","111"
"82","110"
"83","74"
"84","89"
"85","139"
"86","115"
"87","54"
"88","188"
"89","237"
"90","178"
"91","209"
"92","196"
"93","201"
"94","148"
"95","116"
"96","105"
"97","158"
"98","172"
"99","150"
"100","84"
"101","142"
"102","35"
"103","102"
"104","72"
"105","96"
"106","155"
"107","168"
"108","220"
"109","59"
"110","127"
"111","34"
"112","146"
"113","64"
"114","195"
"115","173"
"116","184"
"117","56"
"118","67"
"119","28"
"120","93"
"121","218"
"122","214"
"123","185"
"124","193"
"125","208"
"126","134"
"127","164"
"128","179"
"129","118"
"130","135"
"131","191"
"132","169"
"133","143"
"134","225"
"135","108"
"136","76"
"137","53"
"138","87"
"139","117"
"140","120"
"141","175"
"142","124"
"143","90"
"144","83"
"145","45"
"146","75"
"147","9"
"148","112"
"149","91"
"150","85"
"151","60"
"152","82"
"153","80"
"154","32"
"155","198"
"156","241"
"157","194"
"158","242"
"159","243"
"160","65"
"161","119"
"162","97"
"163","192"
"164","157"
"165","152"
"166","228"
"167","153"
"168","107"
"169","133"
"170","113"
"171","239"
"172","38"
"173","73"
"174","71"
"175","170"
"176","140"
"177","95"
"178","98"
"179","219"
"180","52"
"181","51"
"182","181"
"183","203"
"184","247"
"185","58"
"186","171"
"187","159"
"188","103"
"189","234"
"190","165"
"191","246"
"192","226"
"193","249"
"194","166"
"195","156"
"196","16"
"197","63"
"198","199"
"199","161"
"200","151"
"201","215"
"202","235"
"203","240"
"204","100"
"205","15"
"206","78"
"207","131"
"208","25"
"209","3"
"210","187"
"211","101"
"212","136"
"213","186"
"214","248"
"215","211"
"216","244"
"217","92"
"218","222"
"219","217"
"220","229"
"221","202"
"222","62"
"223","18"
"224","36"
"225","88"
"226","41"
"227","55"
"228","176"
"229","68"
"230","50"
"231","0"
"232","33"
"233","66"
"234","37"
"235","20"
"236","26"
"237","1"
"238","10"
"239","21"
"240","24"
"241","2"
"242","17"
"243","5"
"244","22"
"245","6"
"246","23"
"247","31"
"248","42"
"249","46"
"250","27"
