"","x"
"1","103"
"2","94"
"3","93"
"4","212"
"5","72"
"6","187"
"7","171"
"8","168"
"9","54"
"10","184"
"11","207"
"12","58"
"13","173"
"14","114"
"15","217"
"16","190"
"17","156"
"18","24"
"19","33"
"20","56"
"21","73"
"22","22"
"23","41"
"24","46"
"25","29"
"26","242"
"27","21"
"28","15"
"29","9"
"30","233"
"31","236"
"32","178"
"33","216"
"34","240"
"35","118"
"36","125"
"37","64"
"38","143"
"39","89"
"40","81"
"41","124"
"42","71"
"43","95"
"44","158"
"45","40"
"46","57"
"47","181"
"48","5"
"49","126"
"50","12"
"51","44"
"52","228"
"53","4"
"54","224"
"55","116"
"56","196"
"57","35"
"58","47"
"59","200"
"60","60"
"61","11"
"62","229"
"63","195"
"64","59"
"65","243"
"66","138"
"67","38"
"68","213"
"69","222"
"70","244"
"71","234"
"72","154"
"73","13"
"74","241"
"75","70"
"76","99"
"77","215"
"78","160"
"79","163"
"80","110"
"81","30"
"82","153"
"83","221"
"84","66"
"85","180"
"86","88"
"87","191"
"88","10"
"89","122"
"90","63"
"91","165"
"92","48"
"93","61"
"94","144"
"95","112"
"96","119"
"97","238"
"98","231"
"99","85"
"100","177"
"101","203"
"102","55"
"103","113"
"104","202"
"105","167"
"106","209"
"107","205"
"108","74"
"109","115"
"110","86"
"111","159"
"112","100"
"113","16"
"114","164"
"115","139"
"116","214"
"117","23"
"118","34"
"119","109"
"120","96"
"121","80"
"122","131"
"123","27"
"124","186"
"125","105"
"126","249"
"127","185"
"128","104"
"129","192"
"130","19"
"131","25"
"132","193"
"133","227"
"134","142"
"135","135"
"136","175"
"137","120"
"138","152"
"139","169"
"140","90"
"141","129"
"142","108"
"143","230"
"144","248"
"145","219"
"146","161"
"147","179"
"148","123"
"149","77"
"150","121"
"151","51"
"152","83"
"153","111"
"154","225"
"155","53"
"156","17"
"157","132"
"158","87"
"159","204"
"160","208"
"161","223"
"162","149"
"163","189"
"164","232"
"165","176"
"166","218"
"167","194"
"168","198"
"169","183"
"170","199"
"171","52"
"172","107"
"173","106"
"174","117"
"175","247"
"176","136"
"177","82"
"178","174"
"179","39"
"180","31"
"181","6"
"182","67"
"183","220"
"184","226"
"185","75"
"186","1"
"187","36"
"188","65"
"189","68"
"190","43"
"191","128"
"192","157"
"193","127"
"194","101"
"195","0"
"196","8"
"197","150"
"198","201"
"199","151"
"200","84"
"201","245"
"202","147"
"203","76"
"204","145"
"205","206"
"206","239"
"207","50"
"208","170"
"209","166"
"210","237"
"211","210"
"212","155"
"213","91"
"214","146"
"215","133"
"216","102"
"217","235"
"218","182"
"219","28"
"220","188"
"221","20"
"222","92"
"223","45"
"224","42"
"225","62"
"226","97"
"227","148"
"228","69"
"229","172"
"230","98"
"231","14"
"232","140"
"233","137"
"234","246"
"235","211"
"236","49"
"237","134"
"238","26"
"239","2"
"240","37"
"241","78"
"242","18"
"243","7"
"244","32"
"245","197"
"246","3"
"247","79"
"248","130"
"249","141"
"250","162"
