"","x"
"1","61"
"2","144"
"3","249"
"4","60"
"5","152"
"6","24"
"7","229"
"8","239"
"9","118"
"10","183"
"11","55"
"12","246"
"13","201"
"14","150"
"15","116"
"16","85"
"17","236"
"18","157"
"19","165"
"20","240"
"21","125"
"22","180"
"23","197"
"24","199"
"25","243"
"26","50"
"27","117"
"28","131"
"29","141"
"30","68"
"31","160"
"32","81"
"33","22"
"34","7"
"35","27"
"36","137"
"37","134"
"38","163"
"39","242"
"40","12"
"41","181"
"42","192"
"43","231"
"44","158"
"45","124"
"46","44"
"47","5"
"48","17"
"49","35"
"50","9"
"51","108"
"52","3"
"53","82"
"54","109"
"55","178"
"56","145"
"57","185"
"58","208"
"59","28"
"60","74"
"61","10"
"62","107"
"63","58"
"64","225"
"65","53"
"66","45"
"67","40"
"68","93"
"69","25"
"70","164"
"71","129"
"72","215"
"73","205"
"74","113"
"75","120"
"76","115"
"77","132"
"78","89"
"79","65"
"80","217"
"81","214"
"82","106"
"83","96"
"84","238"
"85","97"
"86","161"
"87","223"
"88","139"
"89","248"
"90","232"
"91","99"
"92","110"
"93","168"
"94","135"
"95","47"
"96","171"
"97","140"
"98","177"
"99","159"
"100","234"
"101","51"
"102","119"
"103","175"
"104","207"
"105","193"
"106","216"
"107","247"
"108","62"
"109","69"
"110","31"
"111","0"
"112","133"
"113","59"
"114","198"
"115","21"
"116","90"
"117","94"
"118","64"
"119","79"
"120","98"
"121","2"
"122","34"
"123","26"
"124","204"
"125","32"
"126","1"
"127","70"
"128","39"
"129","48"
"130","52"
"131","100"
"132","176"
"133","84"
"134","195"
"135","211"
"136","122"
"137","170"
"138","142"
"139","222"
"140","172"
"141","187"
"142","87"
"143","153"
"144","154"
"145","233"
"146","213"
"147","202"
"148","206"
"149","196"
"150","179"
"151","104"
"152","56"
"153","77"
"154","66"
"155","220"
"156","57"
"157","166"
"158","128"
"159","151"
"160","13"
"161","80"
"162","244"
"163","194"
"164","210"
"165","4"
"166","19"
"167","111"
"168","46"
"169","63"
"170","54"
"171","143"
"172","200"
"173","188"
"174","146"
"175","83"
"176","174"
"177","49"
"178","92"
"179","191"
"180","41"
"181","235"
"182","8"
"183","212"
"184","241"
"185","245"
"186","101"
"187","11"
"188","78"
"189","72"
"190","75"
"191","112"
"192","103"
"193","15"
"194","16"
"195","237"
"196","20"
"197","218"
"198","127"
"199","95"
"200","36"
"201","30"
"202","6"
"203","18"
"204","203"
"205","169"
"206","105"
"207","221"
"208","86"
"209","155"
"210","138"
"211","37"
"212","73"
"213","23"
"214","121"
"215","156"
"216","136"
"217","230"
"218","43"
"219","91"
"220","226"
"221","162"
"222","189"
"223","209"
"224","190"
"225","224"
"226","33"
"227","102"
"228","130"
"229","147"
"230","123"
"231","219"
"232","228"
"233","227"
"234","167"
"235","67"
"236","173"
"237","149"
"238","148"
"239","186"
"240","38"
"241","126"
"242","76"
"243","182"
"244","71"
"245","114"
"246","42"
"247","88"
"248","184"
"249","29"
"250","14"
