"","x"
"1","28"
"2","85"
"3","118"
"4","8"
"5","78"
"6","203"
"7","219"
"8","159"
"9","140"
"10","44"
"11","12"
"12","29"
"13","202"
"14","182"
"15","241"
"16","224"
"17","223"
"18","57"
"19","99"
"20","4"
"21","119"
"22","197"
"23","30"
"24","120"
"25","125"
"26","164"
"27","53"
"28","32"
"29","115"
"30","211"
"31","229"
"32","56"
"33","148"
"34","141"
"35","91"
"36","234"
"37","143"
"38","187"
"39","225"
"40","188"
"41","237"
"42","51"
"43","86"
"44","157"
"45","173"
"46","194"
"47","103"
"48","147"
"49","214"
"50","190"
"51","227"
"52","186"
"53","102"
"54","26"
"55","25"
"56","34"
"57","0"
"58","6"
"59","5"
"60","24"
"61","11"
"62","66"
"63","109"
"64","117"
"65","10"
"66","122"
"67","13"
"68","123"
"69","55"
"70","72"
"71","19"
"72","46"
"73","96"
"74","235"
"75","132"
"76","90"
"77","170"
"78","101"
"79","36"
"80","7"
"81","58"
"82","65"
"83","9"
"84","221"
"85","239"
"86","16"
"87","84"
"88","108"
"89","113"
"90","69"
"91","150"
"92","92"
"93","100"
"94","131"
"95","50"
"96","31"
"97","89"
"98","70"
"99","64"
"100","179"
"101","95"
"102","111"
"103","67"
"104","196"
"105","200"
"106","142"
"107","130"
"108","216"
"109","71"
"110","242"
"111","40"
"112","15"
"113","136"
"114","139"
"115","17"
"116","37"
"117","63"
"118","39"
"119","80"
"120","88"
"121","45"
"122","146"
"123","168"
"124","23"
"125","54"
"126","3"
"127","2"
"128","1"
"129","14"
"130","20"
"131","167"
"132","215"
"133","75"
"134","77"
"135","42"
"136","83"
"137","209"
"138","76"
"139","41"
"140","204"
"141","138"
"142","243"
"143","87"
"144","212"
"145","165"
"146","248"
"147","144"
"148","48"
"149","22"
"150","79"
"151","191"
"152","153"
"153","129"
"154","121"
"155","43"
"156","206"
"157","47"
"158","183"
"159","137"
"160","193"
"161","21"
"162","61"
"163","181"
"164","106"
"165","35"
"166","59"
"167","217"
"168","27"
"169","74"
"170","244"
"171","226"
"172","169"
"173","228"
"174","208"
"175","210"
"176","154"
"177","116"
"178","177"
"179","98"
"180","207"
"181","156"
"182","127"
"183","133"
"184","93"
"185","161"
"186","205"
"187","174"
"188","185"
"189","245"
"190","198"
"191","213"
"192","162"
"193","158"
"194","149"
"195","178"
"196","52"
"197","126"
"198","49"
"199","105"
"200","135"
"201","201"
"202","247"
"203","33"
"204","184"
"205","246"
"206","240"
"207","222"
"208","171"
"209","189"
"210","230"
"211","220"
"212","180"
"213","82"
"214","124"
"215","163"
"216","128"
"217","238"
"218","249"
"219","176"
"220","175"
"221","236"
"222","38"
"223","199"
"224","60"
"225","68"
"226","110"
"227","104"
"228","114"
"229","81"
"230","97"
"231","112"
"232","152"
"233","172"
"234","145"
"235","155"
"236","73"
"237","233"
"238","18"
"239","232"
"240","151"
"241","107"
"242","192"
"243","160"
"244","94"
"245","62"
"246","218"
"247","195"
"248","231"
"249","166"
"250","134"
